filme,data_lancamento,Duração do Filme,numero_avaliacoes,avaliacao
95. Brilho Eterno de uma Mente sem Lembranças,2004,1h 48m,"1,100,000","8,3"
96. Viver,1952,2h 23m,"91,000","8,3"
97. 2001: Uma Odisséia no Espaço,1968,2h 29m,"736,000","8,3"
98. Cães de Aluguel,1992,1h 39m,"1,100,000","8,3"
99. Lawrence da Arábia,1962,3h 47m,"322,000","8,3"
100. Se Meu Apartamento Falasse,1960,2h 5m,"202,000","8,3"
101. Incêndios,2010,2h 11m,"213,000","8,3"
102. Scarface,1983,2h 50m,"940,000","8,3"
103. Intriga Internacional,1959,2h 16m,"353,000","8,3"
104. Pacto de Sangue,1944,1h 47m,"171,000","8,3"
105. Cidadão Kane,1941,1h 59m,"474,000","8,3"
"106. M, o Vampiro de Dusseldorf",1931,1h 57m,"173,000","8,3"
107. Um Corpo que Cai,1958,2h 8m,"436,000","8,3"
108. Fogo contra Fogo,1995,2h 50m,"736,000","8,3"
109. Oppenheimer,2023,3h,"814,000","8,3"
110. Nascido para Matar,1987,1h 56m,"806,000","8,2"
111. O Fabuloso Destino de Amélie Poulain,2001,2h 2m,"806,000","8,3"
112. Up - Altas Aventuras,2009,1h 36m,"1,200,000","8,3"
113. Laranja Mecânica,1971,2h 16m,"896,000","8,2"
114. O Sol é para Todos,1962,2h 9m,"338,000","8,3"
115. A Separação,2011,2h 3m,"264,000","8,3"
116. Golpe de Mestre,1973,2h 9m,"285,000","8,3"
117. Duro de Matar,1988,2h 12m,"963,000","8,2"
118. Como Estrelas na Terra,2007,2h 42m,"212,000","8,3"
119. Indiana Jones e a Última Cruzada,1989,2h 7m,"824,000","8,2"
120. Metrópolis,1927,2h 33m,"190,000","8,3"
121. Snatch - Porcos e Diamantes,2000,1h 44m,"928,000","8,2"
122. 1917,2019,1h 59m,"702,000","8,2"
123. Los Angeles: Cidade Proibida,1997,2h 18m,"630,000","8,2"
124. Ladrões de Bicicletas,1948,1h 29m,"179,000","8,3"
125. A Queda! As Últimas Horas de Hitler,2004,2h 36m,"381,000","8,2"
126. Hamilton,2020,2h 40m,"120,000","8,3"
127. Taxi Driver: Motorista de Táxi,1976,1h 54m,"950,000","8,2"
128. Dangal,2016,2h 41m,"218,000","8,3"
129. O Lobo de Wall Street,2013,3h,"1,600,000","8,2"
130. Batman Begins,2005,2h 20m,"1,600,000","8,2"
131. Por uns Dólares a Mais,1965,2h 12m,"281,000","8,2"
132. Green Book: O Guia,2018,2h 10m,"604,000","8,2"
133. Quanto Mais Quente Melhor,1959,2h 1m,"288,000","8,2"
134. O Show de Truman: O Show da Vida,1998,1h 43m,"1,200,000","8,2"
135. Julgamento em Nuremberg,1961,2h 59m,"88,000","8,3"
136. O Garoto,1921,1h 8m,"138,000","8,2"
137. Meu Pai,2020,1h 37m,"203,000","8,2"
138. Ilha do Medo,2010,2h 18m,"1,500,000","8,2"
139. A Malvada,1950,2h 18m,"141,000","8,2"
140. Sangue Negro,2007,2h 38m,"655,000","8,2"
141. Jurassic Park: O Parque dos Dinossauros,1993,2h 7m,"1,100,000","8,2"
142. Cassino,1995,2h 58m,"577,000","8,2"
143. Top Gun: Maverick,2022,2h 10m,"739,000","8,2"
144. O Sexto Sentido,1999,1h 47m,"1,100,000","8,2"
145. Ran,1985,2h 40m,"139,000","8,2"
